OBJECTID,SAP_EQUIPMENT,ITEM_DESCRIPTION,ITEM_TYPE,SAP_FUNCTIONAL_LOCATION,PARK_NUMBER,PARK_NAME,SUBURB,POWER_TYPE,NUMBER_OF_PLATES,LONG,LAT,geo_shape,geo_point_2d
593,200479102,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1866-N002,D0287,SHEPHERD PLACE PARK,SHORNCLIFFE,MAINS POWER,1,153.08078585336148,-27.322790131331004,"{""coordinates"": [153.08078585336148, -27.322790131331004], ""type"": ""Point""}","-27.322790131331004, 153.08078585336148"
594,200479105,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0572-N003,D1763,COLMSLIE BEACH RESERVE,MURARRIE,MAINS POWER,1,153.09020343039543,-27.450216838477207,"{""coordinates"": [153.09020343039543, -27.450216838477207], ""type"": ""Point""}","-27.450216838477207, 153.09020343039543"
595,200479210,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-2633-N002,D0989,LEACROFT ROAD PARK,BURBANK,MAINS POWER,2,153.16444838776522,-27.570511665981385,"{""coordinates"": [153.16444838776522, -27.570511665981385], ""type"": ""Point""}","-27.570511665981385, 153.16444838776522"
596,200479261,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-1614-N002,D0578,BOLTON STREET PARK,EIGHT MILE PLAINS,MAINS POWER,1,153.09188579659101,-27.57806444296683,"{""coordinates"": [153.09188579659101, -27.57806444296683], ""type"": ""Point""}","-27.57806444296683, 153.09188579659101"
597,200479942,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-0610-N008,D1886,KOOKABURRA PARK - WEST,KARANA DOWNS,MAINS POWER,2,152.8389475605523,-27.543580509541727,"{""coordinates"": [152.8389475605523, -27.543580509541727], ""type"": ""Point""}","-27.543580509541727, 152.8389475605523"
598,200480156,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1838-N009,D0074,BEDFORD PLAYGROUND PARK,SPRING HILL,MAINS POWER,2,153.02838087389608,-27.45670576700658,"{""coordinates"": [153.02838087389608, -27.45670576700658], ""type"": ""Point""}","-27.45670576700658, 153.02838087389608"
599,200480202,BBQ - ELECTRIC SINGLE,BARBEQUE,B-RE-0417-N002,D1722,CONSTABLE MATTHEW ARNOLD MEMORIAL PARK,PARKINSON,MAINS POWER,1,153.02915226074393,-27.636319395796566,"{""coordinates"": [153.02915226074393, -27.636319395796566], ""type"": ""Point""}","-27.636319395796566, 153.02915226074393"
600,200480364,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1387-N018,D0463,KALINGA PARK,KALINGA,MAINS POWER,2,153.0547916282556,-27.410456613263914,"{""coordinates"": [153.0547916282556, -27.410456613263914], ""type"": ""Point""}","-27.410456613263914, 153.0547916282556"
601,200481746,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1476-N008,D0366,MOWBRAY PARK,EAST BRISBANE,MAINS POWER,2,153.0441054095774,-27.47801098767853,"{""coordinates"": [153.0441054095774, -27.47801098767853], ""type"": ""Point""}","-27.47801098767853, 153.0441054095774"
602,200481966,BBQ - ELECTRIC DOUBLE,BARBEQUE,B-RE-1734-N001,D0097,RAYMOND PARK,KANGAROO POINT,MAINS POWER,2,153.03870015473842,-27.480222804528193,"{""coordinates"": [153.03870015473842, -27.480222804528193], ""type"": ""Point""}","-27.480222804528193, 153.03870015473842"
